title,plot,rating,genre,popularity
Hold That Ghost,Two bumbling service station attendants are left as the sole beneficiaries in a gangster's will. Their trip to claim their fortune is sidetracked when they are stranded in a haunted house along with several other strangers.,7.1,Comedy,popular
White Noise,"An architect's desire to speak with his wife from beyond the grave using EVP (Electronic Voice Phenomenon), becomes an obsession with supernatural repercussions.",5.6,Horror,unpopular
The Upside of Anger,"After her husband runs off with his secretary, Terry Wolfmeyer is left to fend for herself -- and her four daughters. As she hits rock bottom, Terry finds a friend and drinking buddy in next-door neighbor Denny, a former baseball player. As the two grow closer, and her daughters increasingly rely on Denny, Terry starts to have reservations about where their relationship is headed.",6.4,Comedy,popular
Last Train from Gun Hill,"A marshal tries to bring the son of an old friend, an autocratic cattle baron, to justice for the rape and murder of his wife.",6.9,Action,popular
The Naked Jungle,"The Leiningen South American cocoa plantation is threatened by a 2-mile-wide, 20-mile-long column of army ants.",6.4,Action,popular
The Last Horror Movie,"A serial killer uses a horror video rental to lure his next victim. What begins as a teen slasher transforms into a disturbing journey through the mind of Max Parry, a mild mannered wedding photographer with a taste for human flesh.",5.3,Horror,unpopular
Testament,"Nuclear war in the United States is portrayed in a realistic and believable manner. The story is told through the eyes of a woman who is struggling to take care of her family. The entire movie takes place in a small suburban town outside San Francisco. After the nuclear attack, contact with the outside world is pretty much cut off.",6.3,Science Fiction,popular
Smooth Talk,"Based on the short story, ""Where Are You Going, Where Have You Been"", by Joyce Carol Oates, this film chronicles a 15-year-old girl, Connie's, sexual awakening in the Northern California suburbs. Her experimenting begin to get out of hand when the mysterious Arnold Friend takes an interest in her.",5.6,Romance,unpopular
Hell's Angels,"Two brothers attending Oxford enlist with the Royal Flying Corps when World War I breaks out. Roy and Monte Rutledge have very different personalities. Monte is a freewheeling womanizer, even with his brother's girlfriend Helen. He also proves to have a yellow streak when it comes to his Night Patrol duties. Roy is made of strong moral fiber and attempts to keep his brother in line. Both volunteer for an extremely risky two man bombing mission for different reasons. Monte wants to lose his cowardly reputation and Roy seeks to protect his brother. Roy loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.  Their assignment to knock out a strategic German munitions facility is a booming success, but with a squadron of fighters bearing down on them afterwards, escape seems unlikely.",6.1,Action,popular
Kaijūtō no Kessen: Gojira no Musuko,"The 8th Godzilla film is aimed at an even younger audience than its predecessors.  In the South Seas, scientists conducting weather experiments encounter gigantic mantises and a giant spider that are attacking Godzilla's offspring.",5.2,Science Fiction,unpopular
Man Trouble,A sleazy but affable guard dog trainer is blackmailed to steal a manuscript for a tell-all book from one of his clients.,4.7,Romance,unpopular
The Bigamist,"Mr Graham, a travelling salesman, is married to two women, Eve and Phyllis. Eventually, the truth comes out.",6.9,Drama,popular
Imaginary Heroes,"Matt Travis is good-looking, popular, and his school's best competitive swimmer, so everyone is shocked when he inexplicably commits suicide. As the following year unfolds, each member of his family struggles to recover from the tragedy with mixed results.",6.3,Comedy,popular
Sergeant York,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,7.1,Action,popular
Deathwatch,"In the brutal trench fighting of the First World War, a British Infantry Company is separated from their regiment after a fierce battle. Attempting to return to their lines, the British soldiers discover what appears to be a bombed out German trench, abandoned except for a few dazed German soldiers. After killing most of the Germans, and taking one prisoner, the British company fortifies to hold the trench until reinforcements can arrive. Soon, however, strange things being to happen as a sense of evil descends on the trench and the British begin turn on each other.",5.9,Horror,unpopular
Wizards,An ambiguous battle between good and evil wages in a post-apocalyptic earth populated by netherworld creatures who have re-emerged after the nuclear winter. Two wizard twin brothers - the evil Blackwolf and the good Avatar - battle for supremacy. The war turns in Blackwolf's favor when he discovers the methods of warfare used by the ill-fated humans of the past.,6.4,Science Fiction,popular
"Abbott and Costello Meet the Killer, Boris Karloff","Lost Caverns Hotel bellhop Freddie Phillips is suspected of murder. Swami Talpur tries to hypnotize Freddie into confessing, but Freddie is too stupid for the plot to work. Inspector Wellman uses Freddie to get the killer (and it isn't the Swami).",7.1,Horror,popular
Puddle Cruiser,"A student falls in love with a fellow student who is defending his buddies in university court. He ""proves his love"" (more like his masculinity) to her by playing rugby against her ex-boyfriend.",5.8,Romance,unpopular
Elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",4.9,Action,unpopular
Racing Stripes,"Shattered illusions are hard to repair -- especially for a good-hearted zebra named Stripes who's spent his life on a Kentucky farm amidst the sorely mistaken notion that he's a debonair thoroughbred. Once he faces the fact that his stark stripes mark him as different, he decides he'll race anyway. And with help from the young girl who raised him, he just might end up in the winner's circle.",5.1,Comedy,unpopular
Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",7.3,Drama,popular
Iceman,"An anthropologist is brought to an arctic base when explorers discover the body of a prehistoric man who has been frozen in a block of ice for 40,000 years. After thawing the body to perform an autopsy, scientists discover to their amazement a real possibility to revive him and their attempt to resuscitate the ""iceman"" proves successful.",5.9,Science Fiction,unpopular
Ice Station Zebra,"A top-secret Soviet spy satellite -- using stolen Western technology -- malfunctions and then goes into a descent that lands it near an isolated Arctic research encampment called Ice Station Zebra, belonging to the British, which starts sending out distress signals before falling silent. The atomic submarine Tigerfish, commanded by Cmdr. James Ferraday (Rock Hudson), is dispatched to save them.",6.2,Action,popular
Boys Town,"Against all odds Father Flanagan starts ""Boys' Town"" after hearing a convict's story. Whitey Marsh comes there. He runs away but, hungry, returns. He runs away again but, when friend Pee Wee is hit by a car, returns. He runs away and joins his brother's gang. Flanagan and the boys capture the crooks and the reward saves the town.",6.6,Drama,popular
A Star Is Born,"A Star Is Born is a 1976 rock music film telling the story of a young woman, played by Barbra Streisand who enters show business, and meets and falls in love with an established male star, played by Kris Kristofferson, only to find her career ascending while his goes into decline.",5.7,Romance,unpopular
Beastmaster 2: Through the Portal of Time,"Mark Singer returns as Dar, the warrior who can talk to the beasts. Dar is forced to travel to earth to stop his evil brother from stealing an atomic bomb, and turning their native land from a desert into... well... a desert! Written by Jim Palin",4.6,Action,unpopular
Once Upon a Honeymoon,A radio correspondent tries to rescue a burlesque queen from her marriage to a Nazi official.,5.6,Romance,unpopular
Christmas in July,"An office clerk loves entering contests in the hopes of someday winning a fortune and marrying the girl he loves. His latest attempt is the Maxford House Coffee Slogan Contest. As a joke, some of his co-workers put together a fake telegram which says that he won the $25,000 grand prize. As a result, he gets a promotion, buys presents for all of his family and friends, and proposes to his girl.",6.7,Romance,popular
I Married a Witch,"A comedy from the golden age of Hollywood, based on an unfinished novel by Throne Smith. A witch and her sorcerer father who were burned at the stake by Puritans in the 17th century return to the present to haunt the descendant of the man who condemned them. Now Wallace Woodley is running for governor when a young beautiful witch step into his life.",6.8,Horror,popular
This Girl's Life,"""Slice of life"" take on life of international porn celebrity, Moon, and her musings on modern life, love and loss.",5.1,Drama,unpopular
Hobson's Choice,"Henry Hobson owns and tyrannically runs a successful Victorian boot maker’s shop in Salford, England. A stingy widower with a weakness for overindulging in the local Moonraker Public House, he exploits his three daughters as cheap labour. When he declares that there will be ‘no marriages’ to avoid the expense of marriage settlements at £500 each, his eldest daughter Maggie rebels.",6.7,Comedy,popular
Dr. Who and the Daleks,"Scientist Doctor Who accidentally activates his new invention, the Tardis, a time machine disguised as a police telephone box. Doctor Who, his two grand-daughters, and Barbara's boyfriend Ian are transported through time and space to the planet Skaro, where a peaceful race of Thals are under threat of nuclear attack from the planet's other inhabitants: the robotic mutant Daleks. Overview Written by Alexander Lum",6.1,Science Fiction,popular
Alone in the Dark,"Edward Carnby is a private investigator specializing in unexplainable supernatural phenomena. His cases delve into the dark corners of the world, searching for truth in the occult remnants of ancient civilizations. Now, the greatest mystery of his past is about to become the most dangerous case he has ever faced.",3.1,Horror,unpopular
Aliens of the Deep,"James Cameron teams up with NASA scientists to explore the Mid-Ocean Ridge, a submerged chain of mountains that band the Earth and are home to some of the planet's most unique life forms.",6.8,Documentary,popular
Boogeyman,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?",4.6,Horror,unpopular
The Wedding Date,"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.",6.2,Romance,popular
Inside I'm Dancing,"Michael is a 24-year-old who has cerebral palsy and long-term resident of the Carrigmore Residential Home for the Disabled, run by the formidable Eileen. His life is transformed when the maverick Rory O'Shea moves in.",7.1,Drama,popular
Magic in the Water,"Radio psychologist Jack Black takes his children Joshua and Ashley on a 'vacation' to a lake in British Columbia. While he grinds away at work the children discover that the famous local lake monster ""Orky"" may not be just a gimmick to attract tourists after all. In fact, Orky may enable them to get closer to their workaholic dad, and help stop local polluters who are dumping toxic waste.",5.3,Drama,unpopular
A Study in Terror,"When Watson reads from the newspaper there have been two similar murders near Whitechapel in a few days, Sherlock Holmes' sharp deductive is immediately stimulated to start its merciless method of elimination after observation of every apparently meaningless detail. He guesses right the victims must be street whores, and doesn't need long to work his way trough a pawn shop, an aristocratic family's stately home, a hospital and of course the potential suspects and (even unknowing) witnesses who are the cast of the gradually unraveled story of the murderer and his motive.",6.4,Crime,popular
The Professionals,"The Professionals is a 1966 American Western film directed by Richard Brooks. A kidnap-rescue adventure set in about 1917, it features a small group of experts heading into Mexico to free the Mexican-born wife of a wealthy Texan from several hundred bandits. The film is based on the novel A Mule for the Marquesa by Frank O'Rourke.",6.8,Action,popular
The Devil and Miss Jones,"The wealthiest man in the world, John P. Merrick, is a private person who likes to stay anonymous. One of his many assets, so small that he didn't even knew that he owned it, is Neeley's Department Store. There is labor unrest at the store, and the employees' anger is directed at Merrick, who they hang in effigy outside the store despite not knowing what he looks like. Merrick, not happy at what he sees going on, decides to mete out the rabble-rousers. So he goes undercover as a sales clerk, Thomas Higgins, in the shoe department. However, he soon befriends many of the employees and begins to see things from their point of view.",7.2,Comedy,popular
Beau Geste,"Academy Award winners Gary Cooper and Ray Milland star along with Robert Preston in the epic adventure Beau Geste. When three brothers join the Foreign Legion to escape a troubled past, they find themselves trapped under the command of a sadistic sergeant deep in the scorching Sahara. Now the brothers must fight for their lives as they plot mutiny against tyranny and defend a desert fortress against a brutal enemy. Nominated for 2 Academy Awards, Beau Geste has been universally acclaimed by generations of critics and audiences alike as a true motion picture classic.",7,Drama,popular
Overnight,"Alternately hilarious and horrifying, Overnight chronicles one man's misadventures of making a Hollywood movie. It starts out as a rags to riches story as Troy Duffy, a Boston-bred bartender, sells his first screenplay for The Boondock Saints.",6.9,Documentary,popular
Mac and Me,"A Mysterious Alien Creature (MAC) escaping from nefarious NASA agents, is befriended by a young boy in a wheelchair. Together, they try to find MAC's family from whom he has been separated.",4,Science Fiction,unpopular
El Cid,"Epic film of the legendary Spanish hero, Rodrigo Diaz (""El Cid"" to his followers), who, without compromising his strict sense of honour, still succeeds in taking the initiative and driving the Moors from Spain.",6.8,Action,popular
Hitch,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",6.3,Romance,popular
Inside Deep Throat,"In 1972, a seemingly typical shoestring budget pornographic film was made in a Florida hotel, ""Deep Throat,"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. In short, the combined events would redefine the popular appeal of pornography, even as more cynical developments would lead it down other paths.",6.8,Documentary,popular
Bride & Prejudice,"A Bollywood update of Jane Austen's classic tale, in which Mrs. Bakshi is eager to find suitable husbands for her four unmarried daughters. When the rich single gentlemen Balraj and Darcy come to visit, the Bakshis have high hopes, though circumstance and boorish opinions threaten to get in the way of romance.",6.5,Comedy,popular
Beautiful Boxer,"Based on the true life story of a Thai who wishes to have a sex change operation to become a woman. to pay for this he enters the brutal world of Thai boxing, un-nerving his opponents by performing a makeup application ritual before each fight.",6.2,Drama,popular
Don't Tell Her It's Me,"Gus is a fat cartoonist that recently won a battle against cancer, which explains his baldness. But he is also lonely. Therefore, his caring sister tries to set him up with suitable woman. But to do so, she must turn him into an irresistible man. When he falls in love with Emily, Gus takes the identity of a mysterious biker from New Zealand.",5.8,Romance,unpopular
Night and the City,A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.,7.6,Drama,popular
Dot the I,"Young lovers in London are wrapped up in a love triangle that may not be exactly what it seems. Carmen, a beautiful Spanish woman with a tendency to lose her temper at the drop of a hat, is about to be married to Barnaby, a caring, wealthy, but slightly boring Englishman. While out with friends on her 'hen night' she encounters a stranger who suddenly sparks a passion that has been sleeping within her. As her wedding date approaches, she finds herself struggling to put this newcomer out of her mind, but his effect on her keeps growing stronger. What is it that he sees in her, and why does she feel like she's being pushed inevitably into his arms?",6,Romance,unpopular
Sons of the Desert,Stan and Ollie deceive their wives into thinking they are taking a medicinal cruise when they are really going to a convention.,7.2,Action,popular
Morocco,"The Foreign Legion marches in to Mogador with booze and women in mind just as singer Amy Jolly arrives from Paris to work at Lo Tinto's cabaret. That night, insouciant legionnaire Tom Brown catches her inimitably seductive, tuxedo-clad act. Both bruised by their past lives, the two edge cautiously into a no-strings relationship while being pursued by others. But Tom must leave on a perilous mission: is it too late for them?",6.6,Romance,popular
Samson and Delilah,The classic story of Samson and Delilah as told by Cecil B. DeMille.,6.1,Romance,popular
The Five People You Meet In Heaven,"On his 83rd birthday, Eddie (Voight), a war vet and a maintenance worker at the Ruby Pier amusement park, dies while trying to save a girl who is sitting under a falling ride. When he awakens in the afterlife, he encounters five people with ties to his corporeal existence who help him understand the meaning of his life.",6.9,Science Fiction,popular
"No Retreat, No Surrender","Young Jason Stillwell (Kurt McKinney) moves with his parents to Seattle, where local bullies harass them without mercy. Jason's father Tom (Tim Baker) does not believe in violence, so the family takes it on the chin. One day Jason enrolls in a martial arts class and quietly rises in rank to be a major contender. His mettle is tested in an international match against Ivan, a Russian champion.",5.6,Action,unpopular
The Three Musketeers,"The young D'Artagnan arrives in Paris with dreams of becoming a king's musketeer. He meets and quarrels with three men, Athos, Porthos, and Aramis, each of whom challenges him to a duel. D'Artagnan finds out they are musketeers and is invited to join them in their efforts to oppose Cardinal Richelieu, who wishes to increase his already considerable power over the king. D'Artagnan must also juggle affairs with the charming Constance Bonancieux and the passionate Lady De Winter, a secret agent for the cardinal.",6.8,Action,popular
Royal Flash,"Cowardly rogue Harry Flashman's (Malcolm McDowell) schemes to gain entry to the royal circles of 19th-century Europe go nowhere until he meets a pair of devious nobles with their own agenda. At their urging, Flashman agrees to re-create himself as a bogus Prussian nobleman to woo a beautiful duchess. But the half-baked plan quickly comes unraveled, and he's soon on the run from several new enemies who are all calling for the rapscallion's head.",6,Romance,unpopular
Fallen Angel,"Otto Preminger's classic film noir offering captures the common postwar struggle to get ahead, and one man's balancing act between two women. Dana Andrews stars as a drifter named Eric Stanton, who, after landing in a small California town, falls in love with Stella (Linda Darnell), a diner waitress. She makes it clear that she'll have nothing to do with Eric unless he has some money, so he hatches a plan to marry June Mills (Alice Faye), a wealthy reclusive spinster who is in love with him. Unfortunately, right after the wedding, Stella turns up dead, and the blame is placed on Eric.",5.8,Romance,unpopular
The Four Feathers,A disgraced officer risks his life to help his childhood friends in battle.,7.3,Drama,popular
Love Me Tonight,"A Parisian tailor finds himself posing as a baron in order to collect a sizeable bill from an aristocrat, only to fall in love with an aloof young princess.",5.5,Romance,unpopular
Diary of a Mad Black Woman,"Charles McCarter and his wife Helen are about to celebrate their 18th-wedding anniversary when Helen comes home to find her clothes packed up in a U-Haul van parked in the driveway. Charles is divorcing Her. Helen moves in with her grandmother Madea, an old woman who doesn't take any lip from anyone. Madea helps Helen through these tough times by showing her what is really important in life.",6.4,Romance,popular
Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",5.1,Horror,unpopular
The Pacifier,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,5.8,Action,unpopular
Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",5.4,Crime,unpopular
Class Action,"Liberal activist lawyer Jedediah alienated daughter Maggie years ago when she discovered his many affairs. Now a conservative corporate lawyer, Maggie agrees to go up against her father in court. To gain promotion, she must defend an auto manufacturer against charges that their explosion-prone station wagons are unsafe. As her mother begs for peace, Maggie takes on her dad in a trial that turns increasingly personal and nasty.",6.4,Drama,popular
The Cat and the Canary,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",7,Horror,popular
"Oh, God! You Devil","George Burns is back as God, but oops, here he is as Satan, too. A young rock star is ready to sell his soul to Satan, and Satan is all too happy to oblige. Oops! Seems the fellow was watched over by God as a baby, so now the almighty and his nemesis have to duke it out over the soul. Written by Steve Derby",5.5,Comedy,unpopular
Blackball,"Blackball follows the fortunes of Cliff Starkey, a working-class fine of lawn bowls with an exceptional talent. Wanting to take on the Aussies he manages to become regional champion, only to get banned. Sports agent Rich Schwartz picks him up and makes him so popular the Bowls Committee deem to lift the ban. Now the question is whether he can regain his form and his friends to beat the Aussies.",5.6,Comedy,unpopular
The Agony and the Ecstasy,"Charlton Heston stars as Renaissance artist Michelangelo di Lodovico Buonarroti Simoni (6 March 1475 – 18 February 1564), who begrudgingly paints the Sistine Chapel for imperious Pope Julius II in this epic adaptation of Irvine Stone's novel directed by Carol Reed. While the novel covers Michelangelo's life from birth to death, the film focuses on the battle of wills between the perfectionist artist and the impatient Pope who commissions (and eventually commands) him to paint the famed chapel.",6.8,Drama,popular
Twentieth Century,"Oscar Jaffe is a successful Broadway director, Lily Garland his biggest star. When she leaves his direction, his success goes with her. When he recognizes her aboard the Twentieth Century Limited, the train that both of them are riding, he tries to get her back for a new show. But accomplishing that feat isn't as simple as he had thought.",6.4,Romance,popular
Crónicas,"A suspense thriller about a reporter from Miami who travels to Ecuador in pursuit of a serial killer known as the ""Monster of Babahoyo.""",7,Crime,popular
The Green Berets,Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy the second mission is to kidnap a North Vietnamese General,5.8,Drama,unpopular
Brian's Song,Based on the real-life relationship between teammates Brian Piccolo and Gale Sayers and the bond established when Piccolo discovers that he is dying.,7.1,Drama,popular
Into the Sun,"After the assassination of Tokyo's Governor by Yakuza members, the CIA bureau chief (William Atherton) for Tokyo puts out a call to an agent (Steven Seagal) that had been raised in Japan and trained by ex-Yakuza. Using his former ties, he quickly determines that a war is brewing between old-guard Yakuza members and a young, crazed leader (Takao Osawa) with ties to the Chinese Tong.",4.2,Action,unpopular
Julia,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.",6.3,Drama,popular
Miss Congeniality 2: Armed and Fabulous,"After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new ""face of the FBI."" But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted.",5.3,Action,unpopular
D.E.B.S.,The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.,5.6,Action,unpopular
Incident at Loch Ness,"The German film director Werner Herzog sets out to the Scottish Highlands to make a documentary, ""Enigma of Loch Ness"", exploding the myth of the Loch Ness Monster. Meanwhile, another documentary film crew is making a film about Werner Herzog, and we see the production of ""Enigma"" from their point of view. Shooting on a rented boat, tensions begin to rise as director Herzog and his producer, Zak Penn, find themselves at cross-purposes on the black surface of Loch Ness. Things get very edgy when the film crew starts seeing shapes in the murky water.",5.8,Horror,unpopular
The River,"Based on the novel by Rumer Godden, Jean Renoir’s entrancing first color feature—shot entirely on location in India—eloquently contrasts the growing pains of three young women with the immutability of the Bengal river around which their daily lives unfold. Enriched by Renoir’s subtle understanding and appreciation for India and its people, The River gracefully explores the fragile connections between transitory emotions and everlasting creation.",6.5,Romance,popular
Yanks,"During WWII, the United States set up army bases in Great Britain as part of the war effort. Against their proper sensibilities, many of the Brits don't much like the brash Yanks, especially when it comes to the G.I.s making advances on the lonely British girls. One relationship that develops is between married John, an Army Captain, and the aristocratic Helen, whose naval husband is away at war. Helen loves her husband, but Helen and John are looking for some comfort during the difficult times.",5.7,Romance,unpopular
Paradise Alley,"Sylvester Stallone is fighting the odds again, this time in the wrestling ring. As Cosmo Carboni, he and his two brothers dream of getting out of Hell's Kitchen (circa 1946) and into the big time. The exit signs point to Paradise Alley, a sleazy private club where the floorshow consists of raucous wrestling matches with big purses. Stallone not only starred in and wrote this action-packed film, he also made his directorial debut in this tale of three guys who could take anything Hell's Kitchen could dish out.",5.5,Action,unpopular
Stella Dallas,"Working-class Stella Martin marries high-end Stephen Dallas and soon they have a daughter named Laurel. But Stephen's incessant demands of Stella to become what she isn't leads to their eventual separation. Stephen later marries Helen Morrison (his prior fiancée), and Laurel becomes the focus of Stella's life and love. Nothing is too good for Laurel as far as Stella is concerned. Determined to give her all the advantages, she takes Laurel on a trip to an expensive resort where Laurel makes friends with rich kids. After an embarrassing incident, Stella realizes that her daughter would go farther in life without Stella as her mother. Her subsequent sacrifice is shattering.",6.7,Romance,popular
Call Northside 777,"In 1932, a cop is killed and Frank Wiecek sentenced to life. Eleven years later, a newspaper ad by Frank's mother leads Chicago reporter P.J. O'Neal to look into the case. For some time, O'Neal continues to believe Frank guilty. But when he starts to change his mind, he meets increased resistance from authorities unwilling to be proved wrong.",6.8,Crime,popular
Bells Are Ringing,"Based on the successful 1956 Broadway production of the same name by Betty Comden, Adolph Green, and Jule Styne, the film focuses on Ella Peterson, who works in the basement office of Susanswerphone, a telephone answering service.  Peterson, based on Mary Printz, who worked at Green's service, listens in on others' lives and adds some interest to her own humdrum existence by adopting different identities for her clients. They include an out-of-work Method actor, a dentist with musical yearnings, and in particular playwright Jeffrey Moss, who is suffering from writer's block and desperately needs a muse.",5.6,Romance,unpopular
The Toolbox Murders,"No one is safe when a killer, wielding the deadly contents of his toolbox, methodically stalks his prey.",5.4,Horror,unpopular
If Looks Could Kill,"Michael Corben, along with the rest of his high-school French class, sets out for a trip to France when he is mistaken for an agent of the same name. He is beseiged by both the good guys and the bad guys. British Intelligence outfits him with a series of James-Bond-like gizmos, and Steranko sends more would-be assassins after him. Can Michael stop the evil Steranko's plans for European domination?",5.6,Action,unpopular
Greedy,Michael J. Fox stars with Kirk Douglas and Nancy Travis in this wickedly funny comedy of heirs about a backstabbing family desperate to get their piece of a massive inheritance.,5.9,Comedy,unpopular
We're No Angels,"Three convicts escape from prison on Devil's Island just before Christmas and arrive at a nearby French colonial town. They go to the store of the Ducotels, the only store that gives supplies on credit. They initially intend to take advantage of them but have a change of heart after they find the family is in financial troubles.",6.9,Romance,popular
End of the Century: The Story of The Ramones,"Filmmaker Michael Gramaglia's years-in-the-making biography of the legendary punk band the Ramones entitled End of the Century traces nearly all the various and sundry peaks and valleys which the seminal rockers experienced over the course of its 20-plus year career before disbanding in 1995. Beginning with the band's first concert performances in the mid-'70s, Gramaglia explores the eccentric and highly volatile band members -- in all the various line-ups that were presented over the years -- as the Ramones slowly gained fame for their high energy and high-tempo style of music that would later influence generations of punk rockers around the world. Mixing archival interviews with new interviews of the various surviving bandmembers, as well as interviews with a number of the Ramones' contemporaries, End of the Century encapsulates the East Coast underground music atmosphere of the 1970s and '80s that the band inadvertently shocked into existence.",7.9,Documentary,popular
This Sporting Life,"In Northern England in the early 1960s, Frank Machin is mean, tough and ambitious enough to become an immediate star in the rugby league team run by local employer Weaver.",6.8,Drama,popular
Whistle Down the Wind,"When an injured wife murderer takes refuge on a remote Lancashire farm, the owner’s three children mistakenly believe him to be the Second Coming of Christ.",6.6,Crime,popular
Harvie Krumpet,"Harvie Krumpet is the biography of an ordinary man seemingly cursed with perpetual bad luck. From being born with Tourette's Syndrome, to getting struck by lightning; from having his testicle removed to developing Alzheimer's disease; Harvie's troubles seem unending! Yet, Harvie learns many lessons in life and enjoys its many fruits. He finds love, freedom, nudity and ultimately the true meaning.",7,Comedy,popular
The Ballad of Jack and Rose,"Jack Slavin is an environmentalist with a heart condition who lives with his daughter, Rose, on an isolated island. While Jack fights against developers who wish to build in the area, he also craves more contact with other people. When he invites his girlfriend, Kathleen, and her sons, Rodney and Thaddius, to move in, Rose is upset. The complicated family dynamics makes things difficult for everyone in the house.",6.5,Drama,popular
Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",7.2,Crime,popular
Beauty Shop,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet - the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop.",5.4,Romance,unpopular
Sahara,"Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor, they find themselves on the ultimate treasure hunt.",5.7,Action,unpopular
Fever Pitch,"When relaxed and charming Ben Wrightman meets workaholic Lindsey Meeks she finds him sweet and charming, they hit it off and when it is winter Ben can spend every waking hour with Lindsey, but when summer comes around the corner Lindsey discovers Ben's obsession with the Boston Red Sox. She thinks it is perfect until everything goes downhill for them.",5.9,Romance,unpopular
Rhinestone,"After a big-time country singer brags that she can turn anybody in to a country-singin' star, she's out to prove she can live up to her talk when she recruits a cab-driver as a country singer. He's scheduled to sing at a big-time NYC country night club and she puts her ample powers to work in preparing her protege.",4.9,Comedy,unpopular
Electra Glide in Blue,"A short Arizona motorcycle cop gets his wish and is promoted to Homicide following the mysterious murder of a hermit. He is forced to confront his illusions about himself and those around him in order to solve the case, eventually returning to solitude in the desert.",6.6,Crime,popular
This Land Is Mine,"In a Nazi-occupied French town, meek and mild-mannered teacher Albert Lory lives with his mother. Few people, including his students, have any respect for him and he literally shakes in his boots during an air raid. He is quite friendly with his fellow teacher, Louise Martin and her brother Paul who also happen to be neighbors. If truth be told, Albert is quite in love with Louise but she is in a relationship with George Lambert and he feels she is quite beyond his reach. Paul is a member of the resistance and is killed when Lambert informs the Nazis. Outraged at what he's done, Albert arrives at Lambert's office just as the informer commits suicide. Albert is charged with murder but the local Nazi commander, Major Erich von Keller, offers him a deal...",6.6,Drama,popular
Blind Horizon,"Left for dead in the remote Southwest, Frank is found clinging to life and in a state of amnesia. As he recovers, ominous memories begin to flash back...",5.9,Drama,unpopular
